38,0
89,0
139,0
190,0
240,0
291,0
341,0
392,0
442,0
493,0
543,0
594,0
644,0
695,0
745,0
796,0
846,0
897,0
947,0
63,43
114,43
164,43
215,43
265,43
316,43
366,43
417,43
467,43
518,43
568,43
619,43
669,43
720,43
770,43
821,43
871,43
922,43
972,43
38,86
89,86
139,86
190,86
240,86
291,86
341,86
392,86
442,86
493,86
543,86
594,86
644,86
695,86
745,86
796,86
846,86
897,86
947,86
63,129
114,129
164,129
215,129
265,129
316,129
366,129
417,129
467,129
518,129
568,129
619,129
669,129
720,129
770,129
821,129
871,129
922,129
972,129
38,172
89,172
139,172
190,172
240,172
291,172
341,172
392,172
442,172
493,172
543,172
594,172
644,172
695,172
745,172
796,172
846,172
897,172
947,172
63,215
114,215
164,215
215,215
265,215
316,215
366,215
417,215
467,215
518,215
568,215
619,215
669,215
720,215
770,215
821,215
871,215
922,215
972,215
38,258
89,258
139,258
190,258
240,258
291,258
341,258
392,258
442,258
493,258
543,258
594,258
644,258
695,258
745,258
796,258
846,258
897,258
947,258
63,301
114,301
164,301
215,301
265,301
316,301
366,301
417,301
467,301
518,301
568,301
619,301
669,301
720,301
770,301
821,301
871,301
922,301
972,301
38,344
89,344
139,344
190,344
240,344
291,344
341,344
392,344
442,344
493,344
543,344
594,344
644,344
695,344
745,344
796,344
846,344
897,344
947,344
63,387
114,387
164,387
215,387
265,387
316,387
366,387
417,387
467,387
518,387
568,387
619,387
669,387
720,387
770,387
821,387
871,387
922,387
972,387
38,430
89,430
139,430
190,430
240,430
291,430
341,430
392,430
442,430
493,430
543,430
594,430
644,430
695,430
745,430
796,430
846,430
897,430
947,430
63,473
114,473
164,473
215,473
265,473
316,473
366,473
417,473
467,473
518,473
568,473
619,473
669,473
720,473
770,473
821,473
871,473
922,473
972,473
38,516
89,516
139,516
190,516
240,516
291,516
341,516
392,516
442,516
493,516
543,516
594,516
644,516
695,516
745,516
796,516
846,516
897,516
947,516
63,559
114,559
164,559
215,559
265,559
316,559
366,559
417,559
467,559
518,559
568,559
619,559
669,559
720,559
770,559
821,559
871,559
922,559
972,559
38,602
89,602
139,602
190,602
240,602
291,602
341,602
392,602
442,602
493,602
543,602
594,602
644,602
695,602
745,602
796,602
846,602
897,602
947,602
63,645
114,645
164,645
215,645
265,645
316,645
366,645
417,645
467,645
518,645
568,645
619,645
669,645
720,645
770,645
821,645
871,645
922,645
972,645
38,688
89,688
139,688
190,688
240,688
291,688
341,688
392,688
442,688
493,688
543,688
594,688
644,688
695,688
745,688
796,688
846,688
897,688
947,688
63,731
114,731
164,731
215,731
265,731
316,731
366,731
417,731
467,731
518,731
568,731
619,731
669,731
720,731
770,731
821,731
871,731
922,731
972,731
38,774
89,774
139,774
190,774
240,774
291,774
341,774
392,774
442,774
493,774
543,774
594,774
644,774
695,774
745,774
796,774
846,774
897,774
947,774
63,817
114,817
164,817
215,817
265,817
316,817
366,817
417,817
467,817
518,817
568,817
619,817
669,817
720,817
770,817
821,817
871,817
922,817
972,817
38,860
89,860
139,860
190,860
240,860
291,860
341,860
392,860
442,860
493,860
543,860
594,860
644,860
695,860
745,860
796,860
846,860
897,860
947,860
63,903
114,903
164,903
215,903
265,903
316,903
366,903
417,903
467,903
518,903
568,903
619,903
669,903
720,903
770,903
821,903
871,903
922,903
972,903
38,946
89,946
139,946
190,946
240,946
291,946
341,946
392,946
442,946
493,946
543,946
594,946
644,946
695,946
745,946
796,946
846,946
897,946
947,946
63,989
114,989
164,989
215,989
265,989
316,989
366,989
417,989
467,989
518,989
568,989
619,989
669,989
720,989
770,989
821,989
871,989
922,989
972,989
