Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
61.0,400,0.019,3.657,1000,200
63.0,400,0.015,2.732,1000,200
65.0,400,0.0050,2.496,1000,200
67.0,400,0.0030,2.298,1000,200
69.0,400,0.0010,2.158,1000,200
71.0,400,0.0010,1.739,1000,200
73.0,400,0.0020,1.833,1000,200
75.0,400,0.0,1.627,1000,200
15.0,400,398.188,991.272,33,250
17.0,400,397.032,985.265,55,250
19.0,400,395.224,976.016,87,250
21.0,400,391.63,970.745,98,250
23.0,400,386.076,949.76,164,250
25.0,400,372.113,907.288,272,250
27.0,400,337.598,814.613,411,250
29.0,400,267.804,610.607,657,250
31.0,400,157.775,330.557,856,250
33.0,400,69.073,145.777,953,250
35.0,400,27.777,58.049,990,250
37.0,400,12.194,33.604,997,250
39.0,400,5.618,20.418,999,250
41.0,400,2.8,17.249,1000,250
43.0,400,1.526,13.848,1000,250
45.0,400,0.884,12.049,1000,250
47.0,400,0.478,8.632,1000,250
49.0,400,0.245,7.37,1000,250
51.0,400,0.153,6.822,1000,250
53.0,400,0.091,6.172,1000,250
55.0,400,0.063,4.499,1000,250
57.0,400,0.041,4.312,1000,250
59.0,400,0.027,3.895,1000,250
61.0,400,0.01,2.971,1000,250
63.0,400,0.0050,2.84,1000,250
65.0,400,0.015,2.416,1000,250
67.0,400,0.0010,2.401,1000,250
69.0,400,0.0010,2.248,1000,250
71.0,400,0.0020,1.752,1000,250
73.0,400,0.0040,1.943,1000,250
75.0,400,0.0,1.69,1000,250
15.0,400,398.147,991.389,40,300
17.0,400,397.181,988.377,54,300
19.0,400,395.072,978.694,90,300
21.0,400,391.631,970.445,120,300
23.0,400,385.348,948.942,189,300
25.0,400,372.186,913.089,292,300
27.0,400,339.538,826.658,424,300
29.0,400,270.024,621.383,648,300
31.0,400,169.563,368.27,827,300
33.0,400,71.665,155.59,951,300
35.0,400,30.859,67.449,986,300
37.0,400,13.343,35.075,994,300
39.0,400,5.452,21.163,999,300
41.0,400,3.217,17.653,999,300
43.0,400,1.52,12.715,1000,300
45.0,400,0.85,10.949,1000,300
47.0,400,0.575,9.362,1000,300
49.0,400,0.289,7.285,1000,300
51.0,400,0.189,6.075,1000,300
53.0,400,0.099,5.77,1000,300
55.0,400,0.06,5.012,1000,300
57.0,400,0.042,4.883,1000,300
59.0,400,0.035,3.658,1000,300
61.0,400,0.027,3.383,1000,300
63.0,400,0.011,3.229,1000,300
