Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
61.0,400,0.014,23.922,1000,200
63.0,400,0.0080,23.053,1000,200
65.0,400,0.0070,18.297,1000,200
67.0,400,0.0020,17.464,1000,200
69.0,400,0.0010,17.219,1000,200
71.0,400,0.0,14.238,1000,200
73.0,400,0.0,12.998,1000,200
75.0,400,0.0,10.523,1000,200
15.0,400,398.122,998.998,4,250
17.0,400,397.059,997.878,8,250
19.0,400,395.203,991.788,31,250
21.0,400,391.684,988.337,46,250
23.0,400,385.634,967.409,113,250
25.0,400,370.417,935.616,200,250
27.0,400,338.015,855.972,356,250
29.0,400,264.417,661.454,626,250
31.0,400,155.874,399.327,835,250
33.0,400,67.741,212.26,945,250
35.0,400,30.239,134.093,984,250
37.0,400,11.371,96.107,998,250
39.0,400,5.468,75.883,999,250
41.0,400,2.9,65.036,1000,250
43.0,400,1.876,59.829,999,250
45.0,400,0.845,53.417,1000,250
47.0,400,0.43,49.302,1000,250
49.0,400,0.316,47.519,1000,250
51.0,400,0.167,39.66,1000,250
53.0,400,0.063,38.669,1000,250
55.0,400,0.066,33.444,1000,250
57.0,400,0.056,29.498,1000,250
59.0,400,0.027,29.888,1000,250
61.0,400,0.022,23.917,1000,250
63.0,400,0.0070,23.297,1000,250
65.0,400,0.0010,19.62,1000,250
67.0,400,0.0,17.432,1000,250
69.0,400,0.0,16.708,1000,250
71.0,400,0.0,14.203,1000,250
73.0,400,0.0030,12.52,1000,250
75.0,400,0.0010,12.345,1000,250
15.0,400,397.946,998.033,10,300
17.0,400,397.13,997.658,12,300
19.0,400,395.424,993.496,30,300
21.0,400,391.707,986.333,62,300
23.0,400,385.335,974.289,115,300
25.0,400,371.137,939.155,220,300
27.0,400,338.451,867.475,362,300
29.0,400,271.259,689.664,595,300
31.0,400,168.381,433.588,806,300
33.0,400,78.413,225.225,941,300
35.0,400,29.217,128.448,983,300
37.0,400,13.642,100.074,993,300
39.0,400,6.373,81.565,996,300
41.0,400,2.584,67.856,1000,300
43.0,400,1.958,61.779,999,300
45.0,400,1.254,55.226,999,300
47.0,400,0.358,50.01,1000,300
49.0,400,0.256,45.132,1000,300
51.0,400,0.213,41.28,1000,300
53.0,400,0.118,39.894,1000,300
55.0,400,0.065,35.389,1000,300
57.0,400,0.063,27.951,1000,300
59.0,400,0.029,27.694,1000,300
61.0,400,0.015,23.401,1000,300
63.0,400,0.01,20.624,1000,300
65.0,400,0.0090,19.594,1000,300
67.0,400,0.0030,18.855,1000,300
69.0,400,0.0,14.106,1000,300
71.0,400,0.0040,13.287,1000,300
73.0,400,0.0010,12.658,1000,300
75.0,400,0.0030,11.718,1000,300
15.0,400,398.053,999.747,2,350
17.0,400,396.687,997.752,16,350
19.0,400,394.813,995.359,29,350
21.0,400,392.169,991.971,52,350
23.0,400,386.371,983.804,89,350
25.0,400,373.25,958.508,188,350
27.0,400,345.923,887.676,334,350
29.0,400,281.582,720.797,555,350
31.0,400,178.756,459.009,797,350
33.0,400,80.047,249.787,924,350
35.0,400,34.138,146.31,972,350
37.0,400,13.83,95.184,994,350
39.0,400,6.396,76.608,997,350
41.0,400,3.223,68.025,999,350
43.0,400,1.362,59.404,1000,350
45.0,400,0.721,53.923,1000,350
47.0,400,0.441,48.38,1000,350
49.0,400,0.283,47.009,1000,350
51.0,400,0.201,40.55,1000,350
53.0,400,0.102,35.548,1000,350
55.0,400,0.065,33.703,1000,350
57.0,400,0.042,30.187,1000,350
59.0,400,0.02,27.424,1000,350
61.0,400,0.0060,24.415,1000,350
63.0,400,0.014,23.936,1000,350
65.0,400,0.0040,19.582,1000,350
67.0,400,0.0,19.402,1000,350
69.0,400,0.0,15.557,1000,350
71.0,400,0.0,14.478,1000,350
73.0,400,0.0,12.77,1000,350
75.0,400,0.0,11.204,1000,350
15.0,400,398.045,999.891,1,400
17.0,400,397.018,998.654,11,400
19.0,400,395.326,996.78,34,400
21.0,400,392.816,994.483,47,400
23.0,400,387.446,988.324,84,400
25.0,400,377.432,969.106,174,400
