Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
43.0,400,1.413,141.781,999,250
45.0,400,0.812,136.898,999,250
47.0,400,0.472,109.447,1000,250
49.0,400,0.264,97.18,1000,250
51.0,400,0.158,81.621,1000,250
53.0,400,0.11,85.846,1000,250
55.0,400,0.042,69.908,1000,250
57.0,400,0.033,62.413,999,250
59.0,400,0.032,55.226,1000,250
61.0,400,0.01,50.297,1000,250
63.0,400,0.02,45.57,1000,250
65.0,400,0.0040,43.983,1000,250
67.0,400,0.0050,34.293,1000,250
69.0,400,0.0030,34.705,1000,250
71.0,400,0.0,31.129,1000,250
73.0,400,0.0,31.07,1000,250
75.0,400,0.0,24.773,1000,250
15.0,400,398.074,999.807,1,300
17.0,400,396.75,999.402,3,300
19.0,400,395.217,998.788,6,300
21.0,400,391.894,997.767,11,300
23.0,400,385.685,992.052,35,300
25.0,400,370.637,978.172,73,300
27.0,400,337.428,937.734,184,300
29.0,400,265.495,826.557,369,300
31.0,400,163.932,636.166,643,300
33.0,400,71.872,426.697,836,300
35.0,400,31.517,323.469,929,300
37.0,400,13.282,242.701,973,300
39.0,400,4.872,211.432,985,300
41.0,400,3.048,163.132,995,300
43.0,400,1.693,142.813,998,300
45.0,400,0.785,130.569,996,300
47.0,400,0.492,102.66,1000,300
49.0,400,0.282,100.896,999,300
51.0,400,0.226,86.844,999,300
53.0,400,0.093,79.091,1000,300
55.0,400,0.052,74.481,1000,300
57.0,400,0.022,61.517,1000,300
59.0,400,0.021,57.556,1000,300
61.0,400,0.014,49.923,1000,300
63.0,400,0.0020,46.652,1000,300
65.0,400,0.01,40.424,1000,300
67.0,400,0.0080,38.087,1000,300
69.0,400,0.0010,36.008,1000,300
71.0,400,0.0010,31.416,1000,300
73.0,400,0.0,29.321,1000,300
75.0,400,0.0,27.945,1000,300
15.0,400,398.107,999.883,1,350
17.0,400,397.065,999.586,3,350
19.0,400,395.202,998.477,9,350
21.0,400,391.991,998.236,13,350
23.0,400,386.551,994.906,29,350
25.0,400,373.561,982.232,80,350
27.0,400,345.476,945.861,179,350
29.0,400,282.118,845.846,343,350
31.0,400,177.095,654.312,600,350
33.0,400,80.891,439.897,835,350
35.0,400,32.711,316.406,938,350
37.0,400,13.396,233.034,979,350
39.0,400,5.833,208.688,988,350
41.0,400,2.615,177.285,997,350
43.0,400,1.927,147.178,997,350
45.0,400,0.888,132.6,998,350
47.0,400,0.527,120.947,996,350
49.0,400,0.3,95.053,999,350
51.0,400,0.15,88.614,999,350
53.0,400,0.118,75.25,1000,350
55.0,400,0.063,69.798,1000,350
57.0,400,0.029,60.582,1000,350
59.0,400,0.031,56.703,1000,350
61.0,400,0.02,52.645,1000,350
63.0,400,0.0050,45.767,1000,350
65.0,400,0.0,43.108,1000,350
67.0,400,0.0020,41.541,1000,350
69.0,400,0.0010,34.207,1000,350
71.0,400,0.0020,31.043,1000,350
73.0,400,0.0,32.658,1000,350
75.0,400,0.0,28.973,1000,350
15.0,400,398.068,1000.0,0,400
17.0,400,396.924,999.852,1,400
19.0,400,395.371,999.737,3,400
21.0,400,392.332,999.087,7,400
23.0,400,387.096,996.413,27,400
25.0,400,376.138,986.935,66,400
27.0,400,350.36,956.5,136,400
29.0,400,289.084,871.552,294,400
31.0,400,185.239,650.375,606,400
33.0,400,88.599,457.236,814,400
35.0,400,39.453,334.271,906,400
37.0,400,14.217,253.086,972,400
39.0,400,8.064,203.549,980,400
41.0,400,4.609,176.181,993,400
43.0,400,1.546,150.563,998,400
45.0,400,1.255,133.813,995,400
47.0,400,0.891,117.214,996,400
49.0,400,0.294,103.436,1000,400
51.0,400,0.19,89.472,1000,400
53.0,400,0.136,76.604,1000,400
55.0,400,0.071,69.573,1000,400
57.0,400,0.042,63.141,1000,400
59.0,400,0.02,56.492,1000,400
